country_name,state,lat,lng
Curacao,,12.1696,-68.99
Cyprus,,35.1264,33.4299
Czechia,,49.8175,15.472999999999999
Denmark,Denmark,56.2639,9.5018
Denmark,Faroe Islands,61.8926,-6.9118
Dominican Republic,,18.7357,-70.1627
Ecuador,,-1.8312,-78.1834
Egypt,,26.0,30.0
Estonia,,58.5953,25.0136
Eswatini,,-26.5225,31.4659
Ethiopia,,9.145,40.4897
Finland,,64.0,26.0
France,Fench Guiana,4.0,-53.0
France,France,46.2276,2.2137
France,French Polynesia,-17.6797,149.4068
France,Saint Barthelemy,17.9,-62.8333
France,St Martin,18.0708,-63.0501
French Guiana,,3.9339,-53.1258
Gabon,,-0.8037,11.6094
Georgia,,42.3154,43.3569
Germany,,51.0,9.0
Ghana,,7.9465,-1.0232
Greece,,39.0742,21.8243
Guadeloupe,,16.265,-61.551
Guatemala,,15.7835,-90.2308
Guernsey,,49.45,-2.58
Guinea,,9.9456,-9.6966
Guyana,,5.0,-58.75
Honduras,,15.2,-86.2419
Hungary,,47.1625,19.5033
Iceland,,64.9631,-19.0208
India,,21.0,78.0
Indonesia,,-0.7893,113.9213
Iran,,32.0,53.0
Iraq,,33.0,44.0
Ireland,,53.1424,-7.6921
Israel,,31.0,35.0
Italy,,43.0,12.0
Jamaica,,18.1096,-77.2975
Japan,,36.0,138.0
Jersey,,49.19,-2.11
Jordan,,31.24,36.51
Kazakhstan,,48.0196,66.9237
Kenya,,-0.0236,37.9062
"Korea, South",,36.0,128.0
Kuwait,,29.5,47.75
Latvia,,56.8796,24.6032
Lebanon,,33.8547,35.8623
Liechtenstein,,47.14,9.55
Lithuania,,55.1694,23.8813
Luxembourg,,49.8153,6.1296
Malaysia,,2.5,112.5
Maldives,,3.2028,73.2207
Malta,,35.9375,14.3754
Martinique,,14.6415,-61.0242
Mauritania,,21.0079,10.9408
Mexico,,23.6345,-102.5528
Moldova,,47.4116,28.3699
Monaco,,43.7333,7.4167
Mongolia,,46.8625,103.8467
Morocco,,31.7917,-7.0926
Namibia,,-22.9576,18.4904
Nepal,,28.1667,84.25
Netherlands,,52.1326,5.2913
New Zealand,,-40.9006,174.886
Nigeria,,9.082,8.6753
North Macedonia,,41.6086,21.7453
Norway,,60.472,8.4689
Oman,,21.0,57.0
Pakistan,,30.3753,69.3451
Palestine,,31.9522,35.2332
Panama,,8.538,-80.7821
Paraguay,,-23.4425,-58.4438
Peru,,-9.19,-75.0152
Philippines,,13.0,122.0
Poland,,51.9194,19.1451
Portugal,,39.3999,-8.2245
Qatar,,25.3548,51.1839
Reunion,,-21.1151,55.5364
Romania,,45.9432,24.9668
Russia,,60.0,90.0
Rwanda,,-1.9403,29.8739
Saint Lucia,,13.9094,-60.9789
Saint Vincent and the Grenadines,,12.9843,-61.2872
San Marino,,43.9424,12.4578
Saudi Arabia,,24.0,45.0
Senegal,,14.4974,-14.4524
Serbia,,44.0165,21.0059
Seychelles,,-4.6796,55.492
Singapore,,1.2833,103.8333
Slovakia,,48.669,19.699
Slovenia,,46.1512,14.9955
South Africa,,-30.5595,22.9375
Spain,,40.0,-4.0
Sri Lanka,,7.0,81.0
Sudan,,12.8628,30.2176
Suriname,,3.9193,-56.0278
Sweden,,63.0,16.0
Switzerland,,46.8182,8.2275
Taiwan*,,23.7,121.0
Thailand,,15.0,101.0
Togo,,8.6195,0.8248
Trinidad and Tobago,,10.6918,-61.2225
Tunisia,,34.0,9.0
Turkey,,38.9637,35.2433
US,Alabama,32.3182,-86.9023
US,Alaska,61.3707,-152.4044
US,Arizona,32.0575,-111.6661
US,Arizona,33.7298,-111.4312
US,Arkansas,34.9697,-92.3731
US,California,36.1162,-119.6816
US,California,38.3105,-121.9018
US,Colorado,39.0598,-105.3111
US,Colorado,39.6553,-106.8287
US,Connecticut,41.256,-73.3709
US,Connecticut,41.5978,-72.7554
US,Delaware,39.3185,-75.5071
US,Delaware,39.5393,-75.6674
US,Diamond Princess,35.4437,139.638
US,District of Columbia,38.8974,-77.0268
US,District of Columbia,38.9072,-77.0369
US,Florida,26.8946,-81.9098
US,Florida,27.7663,-81.6868
US,Georgia,33.0406,-83.6431
US,Georgia,33.9191,-84.0167
US,Grand Princess,37.6489,-122.6655
US,Hawaii,21.0943,-157.4983
US,Hawaii,21.307,-157.8584
US,Idaho,44.2405,-114.4788
US,Illinois,40.3495,-88.9861
US,Illinois,41.9879,-88.4016
US,Indiana,39.8494,-86.2583
US,Indiana,41.4277,-85.355
US,Iowa,41.3912,-95.4778
US,Iowa,42.0115,-93.2105
US,Kansas,38.5266,-96.7265
US,Kansas,38.8454,-94.8521
US,Kentucky,37.6681,-84.6701
US,Kentucky,38.1938,-85.6435
US,Louisiana,29.6499,-90.1121
US,Louisiana,31.1695,-91.8678
US,Maine,44.6939,-69.3819
US,Maryland,38.7849,-76.8721
US,Maryland,39.0639,-76.8021
US,Massachusetts,42.2302,-71.5301
US,Massachusetts,42.4097,-71.8571
US,Michigan,42.5922,-83.3362
US,Michigan,43.3266,-84.5361
US,Minnesota,44.8254,-93.7842
US,Minnesota,45.6945,-93.9002
US,Mississippi,32.7416,-89.6787
US,Missouri,38.4561,-92.2884
US,Missouri,38.6103,-90.4125
US,Montana,46.9219,-110.4544
US,Nebraska,41.1254,-98.2681
US,Nebraska,41.3148,-96.1951
US,Nevada,38.3135,-117.0554
US,Nevada,40.5608,-119.6035
US,New Hampshire,42.9931,-71.0498
US,New Hampshire,43.4525,-71.5639
US,New Jersey,40.2589,-74.124
US,New Jersey,40.2989,-74.521
US,New Mexico,33.8837,-106.7235
US,New Mexico,34.8405,-106.2485
US,New York,40.9849,-72.6151
US,New York,42.1657,-74.9481
US,North Carolina,34.2465,-80.607
US,North Carolina,35.6301,-79.8064
US,North Dakota,47.5289,-99.78399999999999
US,Ohio,40.3888,-82.7649
US,Ohio,41.4339,-81.6758
US,Oklahoma,35.5653,-96.9289
US,Oklahoma,36.1593,-95.941
US,Oregon,43.1261,-123.2492
US,Oregon,44.571999999999996,-122.0709
US,Pennsylvania,40.5908,-77.2098
US,Pennsylvania,41.0458,-75.2479
US,Puerto Rico,18.2208,-66.5901
US,Rhode Island,41.6809,-71.5118
US,Rhode Island,41.8882,-71.4774
US,South Carolina,33.8569,-80.945
US,South Carolina,34.8606,-81.9535
US,South Dakota,43.8901,-102.2548
US,South Dakota,44.2998,-99.4388
US,Tennessee,35.7478,-86.6923
US,Tennessee,36.1343,-86.822
US,Texas,31.0545,-97.5635
US,Texas,32.4893,-94.8521
US,Utah,40.15,-111.8624
US,Utah,41.2603,-111.9522
US,Vermont,43.0279,-73.135
US,Vermont,44.0459,-72.7107
US,Virgin Islands,18.3358,-64.8963
US,Virginia,36.8508,-76.2859
US,Virginia,37.7693,-78.17
US,Washington,47.4009,-121.4905
US,Washington,47.6477,-122.6413
US,West Virginia,38.4912,-80.9545
US,Wisconsin,43.0186,-89.5498
US,Wisconsin,44.2685,-89.6165
US,Wyoming,42.756,-107.3025
Ukraine,,48.3794,31.1656
United Arab Emirates,,24.0,54.0
United Kingdom,Channel Islands,49.3723,-2.3644
United Kingdom,Gibraltar,36.1408,-5.3536
United Kingdom,United Kingdom,55.3781,-3.4360000000000004
Uruguay,,-32.5228,-55.7658
Vatican City,,41.9029,12.4534
Venezuela,,6.4238,-66.5897
Vietnam,,16.0,108.0
