date,state_code,fips,state_name,total_cases,total_deaths
2020-03-14,AK,2,Alaska,1,0
2020-03-15,AK,2,Alaska,1,0
2020-03-16,AK,2,Alaska,3,0
2020-03-17,AK,2,Alaska,6,0
2020-03-18,AK,2,Alaska,9,0
2020-03-19,AK,2,Alaska,12,0
2020-03-20,AK,2,Alaska,14,0
2020-03-21,AK,2,Alaska,21,0
2020-03-22,AK,2,Alaska,22,0
2020-03-23,AK,2,Alaska,36,0
2020-03-24,AK,2,Alaska,42,0
2020-03-25,AK,2,Alaska,59,0
2020-03-26,AK,2,Alaska,69,0
2020-03-27,AK,2,Alaska,85,1
2020-03-28,AK,2,Alaska,102,1
2020-03-29,AK,2,Alaska,114,1
2020-03-30,AK,2,Alaska,119,2
2020-03-31,AK,2,Alaska,133,2
2020-04-01,AK,2,Alaska,143,2
2020-04-02,AK,2,Alaska,146,2
2020-04-03,AK,2,Alaska,156,2
2020-04-04,AK,2,Alaska,169,3
2020-04-05,AK,2,Alaska,185,4
2020-04-06,AK,2,Alaska,189,4
2020-04-07,AK,2,Alaska,211,4
2020-04-08,AK,2,Alaska,224,5
2020-04-09,AK,2,Alaska,233,5
2020-04-10,AK,2,Alaska,244,5
2020-04-11,AK,2,Alaska,255,6
2020-04-12,AK,2,Alaska,270,6
2020-04-13,AK,2,Alaska,275,6
2020-01-21,AL,1,Alabama,0,0
2020-01-22,AL,1,Alabama,0,0
2020-01-23,AL,1,Alabama,0,0
2020-01-24,AL,1,Alabama,0,0
2020-01-25,AL,1,Alabama,0,0
2020-01-26,AL,1,Alabama,0,0
2020-01-27,AL,1,Alabama,0,0
2020-01-28,AL,1,Alabama,0,0
2020-01-29,AL,1,Alabama,0,0
2020-01-30,AL,1,Alabama,0,0
2020-01-31,AL,1,Alabama,0,0
2020-02-01,AL,1,Alabama,0,0
2020-02-02,AL,1,Alabama,0,0
2020-02-03,AL,1,Alabama,0,0
2020-02-04,AL,1,Alabama,0,0
2020-02-05,AL,1,Alabama,0,0
2020-02-06,AL,1,Alabama,0,0
2020-02-07,AL,1,Alabama,0,0
2020-02-08,AL,1,Alabama,0,0
2020-02-09,AL,1,Alabama,0,0
2020-02-10,AL,1,Alabama,0,0
2020-02-11,AL,1,Alabama,0,0
2020-02-12,AL,1,Alabama,0,0
2020-02-13,AL,1,Alabama,0,0
2020-02-14,AL,1,Alabama,0,0
2020-02-15,AL,1,Alabama,0,0
2020-02-16,AL,1,Alabama,0,0
2020-02-17,AL,1,Alabama,0,0
2020-02-18,AL,1,Alabama,0,0
2020-02-19,AL,1,Alabama,0,0
2020-02-20,AL,1,Alabama,0,0
2020-02-21,AL,1,Alabama,0,0
2020-02-22,AL,1,Alabama,0,0
2020-02-23,AL,1,Alabama,0,0
2020-02-24,AL,1,Alabama,0,0
2020-02-25,AL,1,Alabama,0,0
2020-02-26,AL,1,Alabama,0,0
2020-02-27,AL,1,Alabama,0,0
2020-02-28,AL,1,Alabama,0,0
2020-02-29,AL,1,Alabama,0,0
2020-03-01,AL,1,Alabama,0,0
2020-03-02,AL,1,Alabama,0,0
2020-03-03,AL,1,Alabama,0,0
2020-03-04,AL,1,Alabama,0,0
2020-03-05,AL,1,Alabama,0,0
2020-03-06,AL,1,Alabama,0,0
2020-03-07,AL,1,Alabama,0,0
2020-03-08,AL,1,Alabama,0,0
2020-03-09,AL,1,Alabama,0,0
2020-03-10,AL,1,Alabama,0,0
2020-03-11,AL,1,Alabama,0,0
2020-03-12,AL,1,Alabama,0,0
2020-03-13,AL,1,Alabama,6,0
2020-03-14,AL,1,Alabama,12,0
2020-03-15,AL,1,Alabama,23,0
2020-03-16,AL,1,Alabama,29,0
2020-03-17,AL,1,Alabama,39,0
2020-03-18,AL,1,Alabama,51,0
2020-03-19,AL,1,Alabama,78,0
2020-03-20,AL,1,Alabama,106,0
2020-03-21,AL,1,Alabama,131,0
2020-03-22,AL,1,Alabama,157,0
2020-03-23,AL,1,Alabama,196,0
2020-03-24,AL,1,Alabama,242,0
2020-03-25,AL,1,Alabama,386,1
2020-03-26,AL,1,Alabama,538,3
2020-03-27,AL,1,Alabama,639,4
2020-03-28,AL,1,Alabama,720,4
2020-03-29,AL,1,Alabama,830,5
2020-03-30,AL,1,Alabama,947,11
2020-03-31,AL,1,Alabama,999,13
2020-04-01,AL,1,Alabama,1106,28
2020-04-02,AL,1,Alabama,1270,32
2020-04-03,AL,1,Alabama,1535,38
2020-04-04,AL,1,Alabama,1633,44
2020-04-05,AL,1,Alabama,1841,45
2020-04-06,AL,1,Alabama,2006,53
2020-04-07,AL,1,Alabama,2197,64
2020-04-08,AL,1,Alabama,2499,67
2020-04-09,AL,1,Alabama,2838,78
2020-04-10,AL,1,Alabama,3008,80
2020-04-11,AL,1,Alabama,3262,93
2020-04-12,AL,1,Alabama,3583,93
2020-04-13,AL,1,Alabama,3805,104
2020-01-21,AR,5,Arkansas,0,0
2020-01-22,AR,5,Arkansas,0,0
2020-01-23,AR,5,Arkansas,0,0
2020-01-24,AR,5,Arkansas,0,0
2020-01-25,AR,5,Arkansas,0,0
2020-01-26,AR,5,Arkansas,0,0
2020-01-27,AR,5,Arkansas,0,0
2020-01-28,AR,5,Arkansas,0,0
2020-01-29,AR,5,Arkansas,0,0
2020-01-30,AR,5,Arkansas,0,0
2020-01-31,AR,5,Arkansas,0,0
2020-02-01,AR,5,Arkansas,0,0
2020-02-02,AR,5,Arkansas,0,0
2020-02-03,AR,5,Arkansas,0,0
2020-02-04,AR,5,Arkansas,0,0
2020-02-05,AR,5,Arkansas,0,0
2020-02-06,AR,5,Arkansas,0,0
2020-02-07,AR,5,Arkansas,0,0
2020-02-08,AR,5,Arkansas,0,0
2020-02-09,AR,5,Arkansas,0,0
2020-02-10,AR,5,Arkansas,0,0
2020-02-11,AR,5,Arkansas,0,0
2020-02-12,AR,5,Arkansas,0,0
2020-02-13,AR,5,Arkansas,0,0
2020-02-14,AR,5,Arkansas,0,0
2020-02-15,AR,5,Arkansas,0,0
2020-02-16,AR,5,Arkansas,0,0
2020-02-17,AR,5,Arkansas,0,0
2020-02-18,AR,5,Arkansas,0,0
2020-02-19,AR,5,Arkansas,0,0
2020-02-20,AR,5,Arkansas,0,0
2020-02-21,AR,5,Arkansas,0,0
2020-02-22,AR,5,Arkansas,0,0
2020-02-23,AR,5,Arkansas,0,0
2020-02-24,AR,5,Arkansas,0,0
2020-02-25,AR,5,Arkansas,0,0
2020-02-26,AR,5,Arkansas,0,0
2020-02-27,AR,5,Arkansas,0,0
2020-02-28,AR,5,Arkansas,0,0
2020-02-29,AR,5,Arkansas,0,0
2020-03-01,AR,5,Arkansas,0,0
2020-03-02,AR,5,Arkansas,0,0
2020-03-03,AR,5,Arkansas,0,0
2020-03-04,AR,5,Arkansas,0,0
2020-03-05,AR,5,Arkansas,0,0
2020-03-06,AR,5,Arkansas,0,0
2020-03-07,AR,5,Arkansas,0,0
2020-03-08,AR,5,Arkansas,0,0
2020-03-09,AR,5,Arkansas,0,0
2020-03-10,AR,5,Arkansas,0,0
2020-03-11,AR,5,Arkansas,1,0
2020-03-12,AR,5,Arkansas,6,0
2020-03-13,AR,5,Arkansas,7,0
2020-03-14,AR,5,Arkansas,9,0
2020-03-15,AR,5,Arkansas,16,0
2020-03-16,AR,5,Arkansas,22,0
2020-03-17,AR,5,Arkansas,22,0
2020-03-18,AR,5,Arkansas,33,0
2020-03-19,AR,5,Arkansas,62,0
2020-03-20,AR,5,Arkansas,100,0
2020-03-21,AR,5,Arkansas,118,0
2020-03-22,AR,5,Arkansas,165,0
2020-03-23,AR,5,Arkansas,201,0
2020-03-24,AR,5,Arkansas,232,2
2020-03-25,AR,5,Arkansas,308,2
2020-03-26,AR,5,Arkansas,351,3
2020-03-27,AR,5,Arkansas,386,3
2020-03-28,AR,5,Arkansas,409,5
2020-03-29,AR,5,Arkansas,449,6
2020-03-30,AR,5,Arkansas,508,7
2020-03-31,AR,5,Arkansas,564,8
2020-04-01,AR,5,Arkansas,624,10
2020-04-02,AR,5,Arkansas,683,12
2020-04-03,AR,5,Arkansas,738,12
2020-04-04,AR,5,Arkansas,743,14
2020-04-05,AR,5,Arkansas,853,16
2020-04-06,AR,5,Arkansas,927,16
2020-04-07,AR,5,Arkansas,997,18
2020-04-08,AR,5,Arkansas,1077,18
2020-04-09,AR,5,Arkansas,1146,21
2020-04-10,AR,5,Arkansas,1202,24
2020-04-11,AR,5,Arkansas,1228,25
2020-04-12,AR,5,Arkansas,1280,27
2020-04-13,AR,5,Arkansas,1475,30
2020-01-21,AS,60,American Samoa,0,0
2020-01-22,AS,60,American Samoa,0,0
2020-01-23,AS,60,American Samoa,0,0
2020-01-24,AS,60,American Samoa,0,0
2020-01-25,AS,60,American Samoa,0,0
2020-01-26,AS,60,American Samoa,0,0
2020-01-27,AS,60,American Samoa,0,0
2020-01-28,AS,60,American Samoa,0,0
2020-01-29,AS,60,American Samoa,0,0
2020-01-30,AS,60,American Samoa,0,0
2020-01-31,AS,60,American Samoa,0,0
2020-02-01,AS,60,American Samoa,0,0
2020-02-02,AS,60,American Samoa,0,0
2020-02-03,AS,60,American Samoa,0,0
2020-02-04,AS,60,American Samoa,0,0
2020-02-05,AS,60,American Samoa,0,0
2020-02-06,AS,60,American Samoa,0,0
2020-02-07,AS,60,American Samoa,0,0
2020-02-08,AS,60,American Samoa,0,0
2020-02-09,AS,60,American Samoa,0,0
2020-02-10,AS,60,American Samoa,0,0
2020-02-11,AS,60,American Samoa,0,0
2020-02-12,AS,60,American Samoa,0,0
2020-02-13,AS,60,American Samoa,0,0
2020-02-14,AS,60,American Samoa,0,0
2020-02-15,AS,60,American Samoa,0,0
2020-02-16,AS,60,American Samoa,0,0
2020-02-17,AS,60,American Samoa,0,0
2020-02-18,AS,60,American Samoa,0,0
2020-02-19,AS,60,American Samoa,0,0
2020-02-20,AS,60,American Samoa,0,0
2020-02-21,AS,60,American Samoa,0,0
2020-02-22,AS,60,American Samoa,0,0
2020-02-23,AS,60,American Samoa,0,0
2020-02-24,AS,60,American Samoa,0,0
2020-02-25,AS,60,American Samoa,0,0
2020-02-26,AS,60,American Samoa,0,0
2020-02-27,AS,60,American Samoa,0,0
2020-02-28,AS,60,American Samoa,0,0
2020-02-29,AS,60,American Samoa,0,0
2020-03-01,AS,60,American Samoa,0,0
2020-03-02,AS,60,American Samoa,0,0
2020-03-03,AS,60,American Samoa,0,0
2020-03-04,AS,60,American Samoa,0,0
2020-03-05,AS,60,American Samoa,0,0
2020-03-06,AS,60,American Samoa,0,0
2020-03-07,AS,60,American Samoa,0,0
2020-03-08,AS,60,American Samoa,0,0
2020-03-09,AS,60,American Samoa,0,0
2020-03-10,AS,60,American Samoa,0,0
2020-03-11,AS,60,American Samoa,0,0
2020-03-12,AS,60,American Samoa,0,0
2020-03-13,AS,60,American Samoa,0,0
2020-03-14,AS,60,American Samoa,0,0
2020-03-15,AS,60,American Samoa,0,0
2020-03-16,AS,60,American Samoa,0,0
2020-03-17,AS,60,American Samoa,0,0
2020-03-18,AS,60,American Samoa,0,0
2020-03-19,AS,60,American Samoa,0,0
2020-03-20,AS,60,American Samoa,0,0
2020-03-21,AS,60,American Samoa,0,0
2020-03-22,AS,60,American Samoa,0,0
2020-03-23,AS,60,American Samoa,0,0
2020-03-24,AS,60,American Samoa,0,0
2020-03-25,AS,60,American Samoa,0,0
2020-03-26,AS,60,American Samoa,0,0
2020-03-27,AS,60,American Samoa,0,0
2020-03-28,AS,60,American Samoa,0,0
2020-03-29,AS,60,American Samoa,0,0
2020-03-30,AS,60,American Samoa,0,0
2020-03-31,AS,60,American Samoa,0,0
2020-04-01,AS,60,American Samoa,0,0
2020-04-02,AS,60,American Samoa,0,0
2020-04-03,AS,60,American Samoa,0,0
2020-04-04,AS,60,American Samoa,0,0
2020-04-05,AS,60,American Samoa,0,0
2020-04-06,AS,60,American Samoa,0,0
2020-04-07,AS,60,American Samoa,0,0
2020-04-08,AS,60,American Samoa,0,0
2020-04-09,AS,60,American Samoa,0,0
2020-04-10,AS,60,American Samoa,0,0
2020-04-11,AS,60,American Samoa,0,0
2020-04-12,AS,60,American Samoa,0,0
2020-04-13,AS,60,American Samoa,0,0
2020-01-21,AZ,4,Arizona,0,0
2020-01-22,AZ,4,Arizona,0,0
2020-01-23,AZ,4,Arizona,0,0
2020-01-24,AZ,4,Arizona,0,0
2020-01-25,AZ,4,Arizona,0,0
2020-01-26,AZ,4,Arizona,1,0
2020-01-27,AZ,4,Arizona,1,0
2020-01-28,AZ,4,Arizona,1,0
2020-01-29,AZ,4,Arizona,1,0
2020-01-30,AZ,4,Arizona,1,0
2020-01-31,AZ,4,Arizona,1,0
2020-02-01,AZ,4,Arizona,1,0
2020-02-02,AZ,4,Arizona,1,0
2020-02-03,AZ,4,Arizona,1,0
2020-02-04,AZ,4,Arizona,1,0
2020-02-05,AZ,4,Arizona,1,0
2020-02-06,AZ,4,Arizona,1,0
2020-02-07,AZ,4,Arizona,1,0
2020-02-08,AZ,4,Arizona,1,0
2020-02-09,AZ,4,Arizona,1,0
2020-02-10,AZ,4,Arizona,1,0
2020-02-11,AZ,4,Arizona,1,0
2020-02-12,AZ,4,Arizona,1,0
2020-02-13,AZ,4,Arizona,1,0
2020-02-14,AZ,4,Arizona,1,0
2020-02-15,AZ,4,Arizona,1,0
2020-02-16,AZ,4,Arizona,1,0
2020-02-17,AZ,4,Arizona,1,0
2020-02-18,AZ,4,Arizona,1,0
2020-02-19,AZ,4,Arizona,1,0
2020-02-20,AZ,4,Arizona,1,0
2020-02-21,AZ,4,Arizona,1,0
2020-02-22,AZ,4,Arizona,1,0
2020-02-23,AZ,4,Arizona,1,0
2020-02-24,AZ,4,Arizona,1,0
2020-02-25,AZ,4,Arizona,1,0
2020-02-26,AZ,4,Arizona,1,0
2020-02-27,AZ,4,Arizona,1,0
2020-02-28,AZ,4,Arizona,1,0
2020-02-29,AZ,4,Arizona,1,0
2020-03-01,AZ,4,Arizona,1,0
2020-03-02,AZ,4,Arizona,1,0
2020-03-03,AZ,4,Arizona,2,0
2020-03-04,AZ,4,Arizona,2,0
2020-03-05,AZ,4,Arizona,2,0
2020-03-06,AZ,4,Arizona,3,0
2020-03-07,AZ,4,Arizona,5,0
2020-03-08,AZ,4,Arizona,5,0
2020-03-09,AZ,4,Arizona,6,0
2020-03-10,AZ,4,Arizona,6,0
2020-03-11,AZ,4,Arizona,9,0
2020-03-12,AZ,4,Arizona,9,0
2020-03-13,AZ,4,Arizona,9,0
2020-03-14,AZ,4,Arizona,12,0
2020-03-15,AZ,4,Arizona,13,0
2020-03-16,AZ,4,Arizona,18,0
2020-03-17,AZ,4,Arizona,20,0
2020-03-18,AZ,4,Arizona,28,0
2020-03-19,AZ,4,Arizona,47,0
2020-03-20,AZ,4,Arizona,70,1
2020-03-21,AZ,4,Arizona,104,1
2020-03-22,AZ,4,Arizona,153,2
2020-03-23,AZ,4,Arizona,234,2
2020-03-24,AZ,4,Arizona,326,6
2020-03-25,AZ,4,Arizona,402,6
2020-03-26,AZ,4,Arizona,508,8
2020-03-27,AZ,4,Arizona,665,15
2020-03-28,AZ,4,Arizona,773,15
2020-03-29,AZ,4,Arizona,929,18
2020-03-30,AZ,4,Arizona,1169,20
2020-03-31,AZ,4,Arizona,1298,24
2020-04-01,AZ,4,Arizona,1413,29
2020-04-02,AZ,4,Arizona,1600,35
2020-04-03,AZ,4,Arizona,1769,41
2020-04-04,AZ,4,Arizona,2019,53
2020-04-05,AZ,4,Arizona,2269,64
2020-04-06,AZ,4,Arizona,2465,67
2020-04-07,AZ,4,Arizona,2575,77
2020-04-08,AZ,4,Arizona,2726,80
2020-04-09,AZ,4,Arizona,3018,89
2020-04-10,AZ,4,Arizona,3112,97
2020-04-11,AZ,4,Arizona,3393,112
2020-04-12,AZ,4,Arizona,3539,117
2020-04-13,AZ,4,Arizona,3702,122
2020-01-21,CA,6,California,0,0
2020-01-22,CA,6,California,0,0
2020-01-23,CA,6,California,0,0
2020-01-24,CA,6,California,0,0
2020-01-25,CA,6,California,1,0
2020-01-26,CA,6,California,2,0
2020-01-27,CA,6,California,2,0
2020-01-28,CA,6,California,2,0
2020-01-29,CA,6,California,2,0
2020-01-30,CA,6,California,2,0
2020-01-31,CA,6,California,3,0
2020-02-01,CA,6,California,3,0
2020-02-02,CA,6,California,6,0
2020-02-03,CA,6,California,6,0
2020-02-04,CA,6,California,6,0
2020-02-05,CA,6,California,6,0
2020-02-06,CA,6,California,6,0
2020-02-07,CA,6,California,6,0
2020-02-08,CA,6,California,6,0
2020-02-09,CA,6,California,6,0
2020-02-10,CA,6,California,7,0
2020-02-11,CA,6,California,7,0
2020-02-12,CA,6,California,7,0
2020-02-13,CA,6,California,7,0
2020-02-14,CA,6,California,7,0
2020-02-15,CA,6,California,7,0
2020-02-16,CA,6,California,7,0
2020-02-17,CA,6,California,7,0
2020-02-18,CA,6,California,7,0
2020-02-19,CA,6,California,7,0
2020-02-20,CA,6,California,8,0
2020-02-21,CA,6,California,9,0
2020-02-22,CA,6,California,9,0
2020-02-23,CA,6,California,9,0
2020-02-24,CA,6,California,11,0
2020-02-25,CA,6,California,11,0
2020-02-26,CA,6,California,26,0
2020-02-27,CA,6,California,26,0
2020-02-28,CA,6,California,27,0
2020-02-29,CA,6,California,28,0
2020-03-01,CA,6,California,33,0
2020-03-02,CA,6,California,38,0
2020-03-03,CA,6,California,45,0
2020-03-04,CA,6,California,55,1
2020-03-05,CA,6,California,67,1
2020-03-06,CA,6,California,81,1
2020-03-07,CA,6,California,100,1
2020-03-08,CA,6,California,112,1
2020-03-09,CA,6,California,172,2
2020-03-10,CA,6,California,179,3
2020-03-11,CA,6,California,202,4
2020-03-12,CA,6,California,252,4
2020-03-13,CA,6,California,320,5
2020-03-14,CA,6,California,381,5
2020-03-15,CA,6,California,478,6
2020-03-16,CA,6,California,588,11
2020-03-17,CA,6,California,732,14
2020-03-18,CA,6,California,893,17
2020-03-19,CA,6,California,1067,19
2020-03-20,CA,6,California,1283,24
2020-03-21,CA,6,California,1544,28
2020-03-22,CA,6,California,1851,35
2020-03-23,CA,6,California,2240,39
2020-03-24,CA,6,California,2644,52
2020-03-25,CA,6,California,3183,67
2020-03-26,CA,6,California,4060,82
2020-03-27,CA,6,California,4914,102
2020-03-28,CA,6,California,5565,121
2020-03-29,CA,6,California,6266,130
2020-03-30,CA,6,California,7421,146
2020-03-31,CA,6,California,8582,183
2020-04-01,CA,6,California,9816,212
2020-04-02,CA,6,California,11190,247
2020-04-03,CA,6,California,12569,282
2020-04-04,CA,6,California,13796,323
2020-04-05,CA,6,California,15076,349
2020-04-06,CA,6,California,16284,386
2020-04-07,CA,6,California,17540,447
2020-04-08,CA,6,California,19043,506
2020-04-09,CA,6,California,20191,548
2020-04-10,CA,6,California,21366,594
2020-04-11,CA,6,California,22421,632
2020-04-12,CA,6,California,23323,676
2020-04-13,CA,6,California,24334,725
2020-01-21,CO,8,Colorado,0,0
2020-01-22,CO,8,Colorado,0,0
2020-01-23,CO,8,Colorado,0,0
2020-01-24,CO,8,Colorado,0,0
2020-01-25,CO,8,Colorado,0,0
2020-01-26,CO,8,Colorado,0,0
2020-01-27,CO,8,Colorado,0,0
2020-01-28,CO,8,Colorado,0,0
2020-01-29,CO,8,Colorado,0,0
2020-01-30,CO,8,Colorado,0,0
2020-01-31,CO,8,Colorado,0,0
2020-02-01,CO,8,Colorado,0,0
2020-02-02,CO,8,Colorado,0,0
2020-02-03,CO,8,Colorado,0,0
2020-02-04,CO,8,Colorado,0,0
2020-02-05,CO,8,Colorado,0,0
2020-02-06,CO,8,Colorado,0,0
2020-02-07,CO,8,Colorado,0,0
2020-02-08,CO,8,Colorado,0,0
2020-02-09,CO,8,Colorado,0,0
2020-02-10,CO,8,Colorado,0,0
2020-02-11,CO,8,Colorado,0,0
2020-02-12,CO,8,Colorado,0,0
2020-02-13,CO,8,Colorado,0,0
2020-02-14,CO,8,Colorado,0,0
2020-02-15,CO,8,Colorado,0,0
2020-02-16,CO,8,Colorado,0,0
2020-02-17,CO,8,Colorado,0,0
2020-02-18,CO,8,Colorado,0,0
2020-02-19,CO,8,Colorado,0,0
2020-02-20,CO,8,Colorado,0,0
2020-02-21,CO,8,Colorado,0,0
2020-02-22,CO,8,Colorado,0,0
2020-02-23,CO,8,Colorado,0,0
2020-02-24,CO,8,Colorado,0,0
2020-02-25,CO,8,Colorado,0,0
2020-02-26,CO,8,Colorado,0,0
2020-02-27,CO,8,Colorado,0,0
2020-02-28,CO,8,Colorado,0,0
2020-02-29,CO,8,Colorado,0,0
2020-03-01,CO,8,Colorado,0,0
2020-03-02,CO,8,Colorado,0,0
2020-03-03,CO,8,Colorado,0,0
2020-03-04,CO,8,Colorado,0,0
2020-03-05,CO,8,Colorado,2,0
2020-03-06,CO,8,Colorado,8,0
2020-03-07,CO,8,Colorado,8,0
2020-03-08,CO,8,Colorado,8,0
2020-03-09,CO,8,Colorado,12,0
2020-03-10,CO,8,Colorado,17,0
2020-03-11,CO,8,Colorado,34,0
2020-03-12,CO,8,Colorado,49,1
2020-03-13,CO,8,Colorado,78,2
2020-03-14,CO,8,Colorado,103,2
2020-03-15,CO,8,Colorado,136,2
2020-03-16,CO,8,Colorado,161,2
2020-03-17,CO,8,Colorado,183,3
2020-03-18,CO,8,Colorado,216,3
2020-03-19,CO,8,Colorado,278,5
2020-03-20,CO,8,Colorado,364,5
2020-03-21,CO,8,Colorado,475,6
2020-03-22,CO,8,Colorado,591,7
2020-03-23,CO,8,Colorado,721,10
2020-03-24,CO,8,Colorado,912,11
2020-03-25,CO,8,Colorado,1086,19
2020-03-26,CO,8,Colorado,1432,24
2020-03-27,CO,8,Colorado,1735,31
2020-03-28,CO,8,Colorado,2061,44
2020-03-29,CO,8,Colorado,2315,47
2020-03-30,CO,8,Colorado,2628,51
2020-03-31,CO,8,Colorado,2990,69
2020-04-01,CO,8,Colorado,3346,80
2020-04-02,CO,8,Colorado,3728,96
2020-04-03,CO,8,Colorado,4182,110
2020-04-04,CO,8,Colorado,4574,126
2020-04-05,CO,8,Colorado,4950,140
2020-04-06,CO,8,Colorado,5172,150
2020-04-07,CO,8,Colorado,5429,179
2020-04-08,CO,8,Colorado,5655,192
2020-04-09,CO,8,Colorado,6202,227
2020-04-10,CO,8,Colorado,6510,253
2020-04-11,CO,8,Colorado,6893,274
2020-04-12,CO,8,Colorado,7303,290
2020-04-13,CO,8,Colorado,7691,308
2020-01-21,CT,9,Connecticut,0,0
2020-01-22,CT,9,Connecticut,0,0
2020-01-23,CT,9,Connecticut,0,0
2020-01-24,CT,9,Connecticut,0,0
2020-01-25,CT,9,Connecticut,0,0
2020-01-26,CT,9,Connecticut,0,0
2020-01-27,CT,9,Connecticut,0,0
2020-01-28,CT,9,Connecticut,0,0
2020-01-29,CT,9,Connecticut,0,0
2020-01-30,CT,9,Connecticut,0,0
2020-01-31,CT,9,Connecticut,0,0
2020-02-01,CT,9,Connecticut,0,0
2020-02-02,CT,9,Connecticut,0,0
2020-02-03,CT,9,Connecticut,0,0
2020-02-04,CT,9,Connecticut,0,0
2020-02-05,CT,9,Connecticut,0,0
2020-02-06,CT,9,Connecticut,0,0
2020-02-07,CT,9,Connecticut,0,0
2020-02-08,CT,9,Connecticut,0,0
2020-02-09,CT,9,Connecticut,0,0
2020-02-10,CT,9,Connecticut,0,0
2020-02-11,CT,9,Connecticut,0,0
2020-02-12,CT,9,Connecticut,0,0
2020-02-13,CT,9,Connecticut,0,0
2020-02-14,CT,9,Connecticut,0,0
2020-02-15,CT,9,Connecticut,0,0
2020-02-16,CT,9,Connecticut,0,0
2020-02-17,CT,9,Connecticut,0,0
2020-02-18,CT,9,Connecticut,0,0
2020-02-19,CT,9,Connecticut,0,0
2020-02-20,CT,9,Connecticut,0,0
2020-02-21,CT,9,Connecticut,0,0
2020-02-22,CT,9,Connecticut,0,0
2020-02-23,CT,9,Connecticut,0,0
2020-02-24,CT,9,Connecticut,0,0
2020-02-25,CT,9,Connecticut,0,0
2020-02-26,CT,9,Connecticut,0,0
2020-02-27,CT,9,Connecticut,0,0
2020-02-28,CT,9,Connecticut,0,0
2020-02-29,CT,9,Connecticut,0,0
2020-03-01,CT,9,Connecticut,0,0
2020-03-02,CT,9,Connecticut,0,0
2020-03-03,CT,9,Connecticut,0,0
2020-03-04,CT,9,Connecticut,0,0
2020-03-05,CT,9,Connecticut,0,0
2020-03-06,CT,9,Connecticut,0,0
2020-03-07,CT,9,Connecticut,0,0
2020-03-08,CT,9,Connecticut,1,0
2020-03-09,CT,9,Connecticut,2,0
2020-03-10,CT,9,Connecticut,2,0
2020-03-11,CT,9,Connecticut,3,0
2020-03-12,CT,9,Connecticut,6,0
2020-03-13,CT,9,Connecticut,11,0
2020-03-14,CT,9,Connecticut,20,0
2020-03-15,CT,9,Connecticut,26,0
2020-03-16,CT,9,Connecticut,41,0
2020-03-17,CT,9,Connecticut,68,0
2020-03-18,CT,9,Connecticut,96,1
2020-03-19,CT,9,Connecticut,159,4
2020-03-20,CT,9,Connecticut,194,4
2020-03-21,CT,9,Connecticut,223,5
2020-03-22,CT,9,Connecticut,327,8
2020-03-23,CT,9,Connecticut,415,10
2020-03-24,CT,9,Connecticut,618,12
2020-03-25,CT,9,Connecticut,875,19
2020-03-26,CT,9,Connecticut,1012,21
2020-03-27,CT,9,Connecticut,1291,27
2020-03-28,CT,9,Connecticut,1524,33
2020-03-29,CT,9,Connecticut,1993,34
